statistic,hashtag,strftime_template,n,tau,end_time,index,article_count,alexa_mean,alexa_max,alexa_sum
indegree,shutitdown,%m-%d-%Y %H,,1.0,2013-02-25 18:00:00 UTC,2013-02-25 18:00:00 UTC,1,1,0.6653718091009989,0.6653718091009989,0.6653718091009989
indegree,shutitdown,%m-%d-%Y %H,,,2013-07-09 06:00:00 UTC,2013-07-09 06:00:00 UTC,,,,,
indegree,shutitdown,%m-%d-%Y %H,,,2013-07-09 06:00:00 UTC,2013-07-09 06:00:00 UTC,,,,,
indegree,shutitdown,%m-%d-%Y %H,,,2013-07-09 06:00:00 UTC,2013-07-09 06:00:00 UTC,,,,,
indegree,shutitdown,%m-%d-%Y %H,,,2013-07-09 06:00:00 UTC,2013-07-09 06:00:00 UTC,,,,,
indegree,shutitdown,%m-%d-%Y %H,,,2013-07-09 06:00:00 UTC,2013-07-09 06:00:00 UTC,,,,,
indegree,shutitdown,%m-%d-%Y %H,,,2013-07-09 06:00:00 UTC,2013-07-09 06:00:00 UTC,,,,,
indegree,shutitdown,%m-%d-%Y %H,4,0.5773502691896258,2013-07-09 07:00:00 UTC,2013-07-09 07:00:00 UTC,3,2,0.5871254162042175,0.6653718091009989,1.174250832408435
indegree,shutitdown,%m-%d-%Y %H,5,0.9837387536759294,2013-07-09 08:00:00 UTC,2013-07-09 08:00:00 UTC,4,2,0.5871254162042175,0.6653718091009989,1.174250832408435
indegree,shutitdown,%m-%d-%Y %H,7,0.8839599998785473,2013-07-09 09:00:00 UTC,2013-07-09 09:00:00 UTC,5,2,0.5871254162042175,0.6653718091009989,1.174250832408435
indegree,shutitdown,%m-%d-%Y %H,8,0.9863939238321437,2013-07-09 14:00:00 UTC,2013-07-09 14:00:00 UTC,6,2,0.5871254162042175,0.6653718091009989,1.174250832408435
indegree,shutitdown,%m-%d-%Y %H,9,0.8545454545454545,2013-07-09 16:00:00 UTC,2013-07-09 16:00:00 UTC,7,2,0.5871254162042175,0.6653718091009989,1.174250832408435
indegree,shutitdown,%m-%d-%Y %H,10,0.9866363704190254,2013-07-09 17:00:00 UTC,2013-07-09 17:00:00 UTC,8,2,0.5871254162042175,0.6653718091009989,1.174250832408435
indegree,shutitdown,%m-%d-%Y %H,11,0.6483516483516484,2013-07-09 18:00:00 UTC,2013-07-09 18:00:00 UTC,9,2,0.5871254162042175,0.6653718091009989,1.174250832408435
indegree,shutitdown,%m-%d-%Y %H,12,0.9945503681476413,2013-07-09 20:00:00 UTC,2013-07-09 20:00:00 UTC,10,2,0.5871254162042175,0.6653718091009989,1.174250832408435
indegree,shutitdown,%m-%d-%Y %H,13,0.9897433186107871,2013-07-09 21:00:00 UTC,2013-07-09 21:00:00 UTC,11,2,0.5871254162042175,0.6653718091009989,1.174250832408435
indegree,shutitdown,%m-%d-%Y %H,13,1.0,2013-07-09 22:00:00 UTC,2013-07-09 22:00:00 UTC,12,2,0.5871254162042175,0.6653718091009989,1.174250832408435
indegree,shutitdown,%m-%d-%Y %H,14,0.8666666666666667,2013-07-10 01:00:00 UTC,2013-07-10 01:00:00 UTC,13,2,0.5871254162042175,0.6653718091009989,1.174250832408435
